/CK (x=0.7) X,/CK (x=0.7) Y,/D (x=0.7) X,/D (x=0.7) Y,/QD (x=0.7) X,/QD (x=0.7) Y
1.808316664974575e-07,0,1.808316664974575e-07,0.7,1.808316664974575e-07,0.6999997731507177
1.809308759743896e-07,0,1.809308759743896e-07,0.7,1.809308759743896e-07,0.6999997945803561
1.81e-07,0,1.81e-07,0.7,1.81e-07,0.6999997787507418
1.810000390625e-07,0.002734374999887295,1.810000390625e-07,0.7,1.810000390625e-07,0.7000251661746488
1.810001171875e-07,0.008203125000269864,1.810001171875e-07,0.7,1.810001171875e-07,0.700086139536709
1.810002734375e-07,0.019140625001035,1.810002734375e-07,0.7,1.810002734375e-07,0.7002230947860485
1.810004532244259e-07,0.03172570981139163,1.810004532244259e-07,0.7,1.810004532244259e-07,0.700363145216469
1.810007176897783e-07,0.05023828447859015,1.810007176897783e-07,0.7,1.810007176897783e-07,0.7005510309925382
1.810012159767667e-07,0.08511837367221972,1.810012159767667e-07,0.7,1.810012159767667e-07,0.7008356508034269
1.810020298704681e-07,0.1420909327685881,1.810020298704681e-07,0.7,1.810020298704681e-07,0.7011445700615591
1.810035092051847e-07,0.2456443629269963,1.810035092051847e-07,0.7,1.810035092051847e-07,0.7013424446111675
1.810060285442147e-07,0.4219980950305935,1.810060285442147e-07,0.7,1.810060285442147e-07,0.7010676299972849
1.810080142721074e-07,0.5609990475164681,1.810080142721074e-07,0.7,1.810080142721074e-07,0.7006069373714341
1.8101e-07,0.7,1.8101e-07,0.7,1.8101e-07,0.699937992890347
1.810101335556873e-07,0.7,1.810101335556873e-07,0.7,1.810101335556873e-07,0.6998368516791811
1.810104006670619e-07,0.7,1.810104006670619e-07,0.7,1.810104006670619e-07,0.6996362278641373
1.810105335953051e-07,0.7,1.810105335953051e-07,0.7,1.810105335953051e-07,0.6995445566174289
1.810107994517915e-07,0.7,1.810107994517915e-07,0.7,1.810107994517915e-07,0.6993803755758555
1.810113311647644e-07,0.7,1.810113311647644e-07,0.7,1.810113311647644e-07,0.6991112465635685
1.810122016816501e-07,0.7,1.810122016816501e-07,0.7,1.810122016816501e-07,0.698815788304436
1.810139427154216e-07,0.7,1.810139427154216e-07,0.7,1.810139427154216e-07,0.6985519503981824
1.810146256198916e-07,0.7,1.810146256198916e-07,0.7,1.810146256198916e-07,0.6985466272560532
1.810159914288317e-07,0.7,1.810159914288317e-07,0.7,1.810159914288317e-07,0.6986235709729243
1.81018723046712e-07,0.7,1.81018723046712e-07,0.7,1.81018723046712e-07,0.6989363083214938
1.81023099210078e-07,0.7,1.81023099210078e-07,0.7,1.81023099210078e-07,0.6994707817052815
1.810281547329392e-07,0.7,1.810281547329392e-07,0.7,1.810281547329392e-07,0.6998818943091212
1.810340091258786e-07,0.7,1.810340091258786e-07,0.7,1.810340091258786e-07,0.7000900015856436
1.810412336727154e-07,0.7,1.810412336727154e-07,0.7,1.810412336727154e-07,0.7001353650819343
1.81049609289461e-07,0.7,1.81049609289461e-07,0.7,1.81049609289461e-07,0.7001150250303183
1.810590204738488e-07,0.7,1.810590204738488e-07,0.7,1.810590204738488e-07,0.7002024325878289
1.81069828587191e-07,0.7,1.81069828587191e-07,0.7,1.81069828587191e-07,0.7002951901804629
1.810798385971041e-07,0.7,1.810798385971041e-07,0.7,1.810798385971041e-07,0.7002211082541779
1.810918870039395e-07,0.7,1.810918870039395e-07,0.7,1.810918870039395e-07,0.7000272069402705
1.81100899205276e-07,0.7,1.81100899205276e-07,0.7,1.81100899205276e-07,0.6999470631472141
1.811127076579319e-07,0.7,1.811127076579319e-07,0.7,1.811127076579319e-07,0.6999256753108154
1.811273071595934e-07,0.7,1.811273071595934e-07,0.7,1.811273071595934e-07,0.6999514628160136
1.811489703122943e-07,0.7,1.811489703122943e-07,0.7,1.811489703122943e-07,0.699984762591894
1.811739966349098e-07,0.7,1.811739966349098e-07,0.7,1.811739966349098e-07,0.6999973160619157
1.812067242468942e-07,0.7,1.812067242468942e-07,0.7,1.812067242468942e-07,0.6999993497820211
1.812526153732176e-07,0.7,1.812526153732176e-07,0.7,1.812526153732176e-07,0.700000174157266
1.813220617573929e-07,0.7,1.813220617573929e-07,0.7,1.813220617573929e-07,0.6999998784255256
1.814118153628916e-07,0.7,1.814118153628916e-07,0.7,1.814118153628916e-07,0.7000003036692458
1.8151e-07,0.7,1.8151e-07,0.7,1.8151e-07,0.699999947851345
1.8151015625e-07,0.6890624999998211,1.8151015625e-07,0.7,1.8151015625e-07,0.6999328406191149
1.8151046875e-07,0.6671875000019966,1.8151046875e-07,0.7,1.8151046875e-07,0.6997959026536003
1.81510625e-07,0.6562500000030843,1.81510625e-07,0.7,1.81510625e-07,0.6997330444326372
