/D (x=0.8) X,/D (x=0.8) Y,/CLK (x=0.8) X,/CLK (x=0.8) Y,/Q (x=0.8) X,/Q (x=0.8) Y
1.802559756311717e-07,0.8,1.802559756311717e-07,0.8,1.802559756311717e-07,0.1477470555701887
1.802587229886118e-07,0.8,1.802587229886118e-07,0.8,1.802587229886118e-07,0.2711921313187571
1.802623091471906e-07,0.8,1.802623091471906e-07,0.8,1.802623091471906e-07,0.4474583242539447
1.802652960463637e-07,0.8,1.802652960463637e-07,0.8,1.802652960463637e-07,0.5919894922284586
1.802682276350005e-07,0.8,1.802682276350005e-07,0.8,1.802682276350005e-07,0.705746773157749
1.802706011745723e-07,0.8,1.802706011745723e-07,0.8,1.802706011745723e-07,0.7556249214651014
1.802727637598721e-07,0.8,1.802727637598721e-07,0.8,1.802727637598721e-07,0.7753442548524389
1.802755491342198e-07,0.8,1.802755491342198e-07,0.8,1.802755491342198e-07,0.7873600297491612
1.802776577915331e-07,0.8,1.802776577915331e-07,0.8,1.802776577915331e-07,0.7919273329607374
1.802806960277142e-07,0.8,1.802806960277142e-07,0.8,1.802806960277142e-07,0.7954290164955409
1.802848040674819e-07,0.8,1.802848040674819e-07,0.8,1.802848040674819e-07,0.7976675861061386
1.802903969832902e-07,0.8,1.802903969832902e-07,0.8,1.802903969832902e-07,0.7989422912102084
1.802984108990063e-07,0.8,1.802984108990063e-07,0.8,1.802984108990063e-07,0.7996241302532344
1.803088777884961e-07,0.8,1.803088777884961e-07,0.8,1.803088777884961e-07,0.7999006253275391
1.803219369410645e-07,0.8,1.803219369410645e-07,0.8,1.803219369410645e-07,0.7999806214076318
1.803397113852682e-07,0.8,1.803397113852682e-07,0.8,1.803397113852682e-07,0.7999977557238461
1.803670553968116e-07,0.8,1.803670553968116e-07,0.8,1.803670553968116e-07,0.7999997788801209
1.804166163368029e-07,0.8,1.804166163368029e-07,0.8,1.804166163368029e-07,0.8000001871377856
1.804633081684015e-07,0.8,1.804633081684015e-07,0.8,1.804633081684015e-07,0.7999996720896506
1.8051e-07,0.8,1.8051e-07,0.8,1.8051e-07,0.8000002582651319
1.805100390625e-07,0.8,1.805100390625e-07,0.7968749999979865,1.805100390625e-07,0.8000002252587379
1.805101171875e-07,0.8,1.805101171875e-07,0.7906249999975492,1.805101171875e-07,0.799999996442433
1.8051015625e-07,0.8,1.8051015625e-07,0.7874999999973307,1.8051015625e-07,0.7999998453882688
1.80510234375e-07,0.8,1.80510234375e-07,0.7812499999968934,1.80510234375e-07,0.799999520662226
1.805103715197104e-07,0.8,1.805103715197104e-07,0.7702784231639757,1.805103715197104e-07,0.7999989269762935
1.805106146414702e-07,0.8,1.805106146414702e-07,0.7508286823818527,1.805106146414702e-07,0.7999980394543458
1.805111008849898e-07,0.8,1.805111008849898e-07,0.7119292008176069,1.805111008849898e-07,0.7999967125720483
1.805120733720289e-07,0.8,1.805120733720289e-07,0.6341302376891154,1.805120733720289e-07,0.799995374884984
1.805140183461071e-07,0.8,1.805140183461071e-07,0.4785323114321322,1.805140183461071e-07,0.7999954469484588
1.805170091730536e-07,0.8,1.805170091730536e-07,0.2392661557136562,1.805170091730536e-07,0.7999996306360252
1.805185045865268e-07,0.8,1.805185045865268e-07,0.1196330778554771,1.805185045865268e-07,0.800004330933574
1.8052e-07,0.8,1.8052e-07,0,1.8052e-07,0.8000136394410011
1.805200939014944e-07,0.8,1.805200939014944e-07,0,1.805200939014944e-07,0.8000145742161806
1.805202817044832e-07,0.8,1.805202817044832e-07,0,1.805202817044832e-07,0.8000163832054463
1.805203756059775e-07,0.8,1.805203756059775e-07,0,1.805203756059775e-07,0.8000173024949949
1.805205634089663e-07,0.8,1.805205634089663e-07,0,1.805205634089663e-07,0.8000190621688484
1.805208156772169e-07,0.8,1.805208156772169e-07,0,1.805208156772169e-07,0.800020921539589
1.805212491814935e-07,0.8,1.805212491814935e-07,0,1.805212491814935e-07,0.8000231577596769
1.805221161900466e-07,0.8,1.805221161900466e-07,0,1.805221161900466e-07,0.8000248967125996
1.805238502071529e-07,0.8,1.805238502071529e-07,0,1.805238502071529e-07,0.8000227353417632
1.805267460421177e-07,0.8,1.805267460421177e-07,0,1.805267460421177e-07,0.8000152958152266
1.805301040662831e-07,0.8,1.805301040662831e-07,0,1.805301040662831e-07,0.8000062478424923
1.805329821771254e-07,0.8,1.805329821771254e-07,0,1.805329821771254e-07,0.7999964684295737
1.805364319920357e-07,0.8,1.805364319920357e-07,0,1.805364319920357e-07,0.7999831065208197
1.805395522872017e-07,0.8,1.805395522872017e-07,0,1.805395522872017e-07,0.7999636184635398
1.805429282619764e-07,0.8,1.805429282619764e-07,0,1.805429282619764e-07,0.7999399670732142
1.805466733438694e-07,0.8,1.805466733438694e-07,0,1.805466733438694e-07,0.7999429634768843
1.805503252378774e-07,0.8,1.805503252378774e-07,0,1.805503252378774e-07,0.7999621956499415
