/CK X,/CK Y,/D X,/D Y,/QD X,/QD Y
1.211981995273038e-09,0,1.211981995273038e-09,0.8,1.211981995273038e-09,-7.700153078312919e-08
1.212637528995014e-09,0,1.212637528995014e-09,0.8,1.212637528995014e-09,-5.490225382027585e-08
1.213933409945422e-09,0,1.213933409945422e-09,0.8,1.213933409945422e-09,-5.006782574292045e-10
1.21652517184624e-09,0,1.21652517184624e-09,0.8,1.21652517184624e-09,9.165396085381306e-08
1.220281899702873e-09,0,1.220281899702873e-09,0.8,1.220281899702873e-09,1.370263284224342e-07
1.225226207651914e-09,0,1.225226207651914e-09,0.8,1.225226207651914e-09,9.63809406298706e-08
1.232021242124069e-09,0,1.232021242124069e-09,0.8,1.232021242124069e-09,3.822192652547877e-08
1.240123117665169e-09,0,1.240123117665169e-09,0.8,1.240123117665169e-09,3.47263731280288e-08
1.249458689447101e-09,0,1.249458689447101e-09,0.8,1.249458689447101e-09,5.121336008399174e-08
1.256538544505673e-09,0,1.256538544505673e-09,0.8,1.256538544505673e-09,4.337342484925628e-08
1.261994357105265e-09,0,1.261994357105265e-09,0.8,1.261994357105265e-09,5.231583009741373e-08
1.267011604382564e-09,0,1.267011604382564e-09,0.8,1.267011604382564e-09,1.365652521670836e-07
1.270124530107519e-09,0,1.270124530107519e-09,0.8,1.270124530107519e-09,3.321360268071662e-07
1.273464927612936e-09,0,1.273464927612936e-09,0.8,1.273464927612936e-09,4.861659241673315e-07
1.276761547580451e-09,0,1.276761547580451e-09,0.8,1.276761547580451e-09,3.433443668234602e-07
1.28038013595289e-09,0,1.28038013595289e-09,0.8,1.28038013595289e-09,-2.934038970735004e-08
1.284226258521692e-09,0,1.284226258521692e-09,0.8,1.284226258521692e-09,-3.038031487212928e-07
1.288538744924419e-09,0,1.288538744924419e-09,0.8,1.288538744924419e-09,-4.536530056389585e-07
1.293989775711425e-09,0,1.293989775711425e-09,0.8,1.293989775711425e-09,-4.12356742788352e-07
1.299849913388208e-09,0,1.299849913388208e-09,0.8,1.299849913388208e-09,-3.791922962122046e-08
1.305803079620282e-09,0,1.305803079620282e-09,0.8,1.305803079620282e-09,1.047756085725344e-07
1.31166068836389e-09,0,1.31166068836389e-09,0.8,1.31166068836389e-09,1.268400825524271e-07
1.319115537301577e-09,0,1.319115537301577e-09,0.8,1.319115537301577e-09,2.637827093088703e-07
1.326073856603808e-09,0,1.326073856603808e-09,0.8,1.326073856603808e-09,2.719240270209457e-07
1.332683739406551e-09,0,1.332683739406551e-09,0.8,1.332683739406551e-09,1.359186087280223e-07
1.340888733527354e-09,0,1.340888733527354e-09,0.8,1.340888733527354e-09,4.634274502619201e-08
1.350885172100898e-09,0,1.350885172100898e-09,0.8,1.350885172100898e-09,1.592108078135707e-08
1.363275328275293e-09,0,1.363275328275293e-09,0.8,1.363275328275293e-09,2.195778414654639e-08
1.378828410580425e-09,0,1.378828410580425e-09,0.8,1.378828410580425e-09,3.821298176676763e-08
1.399657477929528e-09,0,1.399657477929528e-09,0.8,1.399657477929528e-09,4.73738017956995e-08
